# portID	slaveID	chipID	channelID	tacID	branch	t0	a0	a1	a2
0	0	6	0	0	T	7.0565753e-02	1.3498453e+02	1.5812222e+02	-1.0000019e-02
0	0	6	0	0	E	5.4465041e-02	1.3341550e+02	1.6427284e+02	-1.0000044e-02
0	0	6	0	1	T	7.2099261e-02	1.2728815e+02	1.5760536e+02	-1.0000031e-02
0	0	6	0	1	E	5.1077589e-02	1.3199358e+02	1.6321806e+02	-1.0000642e-02
0	0	6	0	2	T	7.2063021e-02	1.2618424e+02	1.5783833e+02	-9.9999998e-03
0	0	6	0	2	E	5.3419814e-02	1.3250859e+02	1.6341684e+02	-1.0000172e-02
0	0	6	0	3	T	6.6583209e-02	1.2486864e+02	1.5782028e+02	-1.0000121e-02
0	0	6	0	3	E	4.4905409e-02	1.2890376e+02	1.6343546e+02	-1.0000035e-02
0	0	6	1	0	T	7.2024874e-02	1.3864101e+02	1.5778613e+02	-9.9999998e-03
0	0	6	1	0	E	5.4770216e-02	1.2794515e+02	1.5952057e+02	-1.0000017e-02
0	0	6	1	1	T	7.1981005e-02	1.2955568e+02	1.5730244e+02	-1.0000001e-02
0	0	6	1	1	E	5.4823622e-02	1.2979280e+02	1.5979205e+02	-1.0000532e-02
0	0	6	1	2	T	7.2106890e-02	1.2908781e+02	1.5764330e+02	-1.0000370e-02
0	0	6	1	2	E	5.4602370e-02	1.2920177e+02	1.6003722e+02	-1.0000042e-02
0	0	6	1	3	T	4.5201831e-02	1.2427903e+02	1.5726117e+02	-1.0000272e-02
0	0	6	1	3	E	4.1548476e-02	1.2612627e+02	1.5994646e+02	-1.0000085e-02
0	0	6	2	0	T	7.1498446e-02	1.3722116e+02	1.6369733e+02	-9.9999998e-03
0	0	6	2	0	E	4.5958266e-02	1.2430924e+02	1.5314052e+02	-1.0000002e-02
0	0	6	2	1	T	7.2049670e-02	1.2648989e+02	1.6305258e+02	-9.9999998e-03
0	0	6	2	1	E	5.4922804e-02	1.2260001e+02	1.5418391e+02	-1.0000227e-02
0	0	6	2	2	T	7.1736865e-02	1.2613598e+02	1.6309624e+02	-1.0000017e-02
0	0	6	2	2	E	5.1565871e-02	1.2543492e+02	1.5363487e+02	-1.0000002e-02
0	0	6	2	3	T	5.8270983e-02	1.2514738e+02	1.6361888e+02	-1.0000004e-02
0	0	6	2	3	E	5.4785475e-02	1.2519196e+02	1.5362115e+02	-1.0000003e-02
0	0	6	3	0	T	7.1651034e-02	1.3359421e+02	1.5532864e+02	-1.0000331e-02
0	0	6	3	0	E	3.4964308e-02	1.2536436e+02	1.5594383e+02	-1.0000322e-02
0	0	6	3	1	T	5.5095248e-02	1.2278220e+02	1.5467007e+02	-1.0000001e-02
0	0	6	3	1	E	5.4449782e-02	1.2475387e+02	1.5690245e+02	-1.0001229e-02
0	0	6	3	2	T	7.2043948e-02	1.2251201e+02	1.5506522e+02	-9.9999998e-03
0	0	6	3	2	E	5.3236708e-02	1.2862592e+02	1.5628906e+02	-1.0000009e-02
0	0	6	3	3	T	6.3565783e-02	1.2231323e+02	1.5456192e+02	-1.0000047e-02
0	0	6	3	3	E	4.5622572e-02	1.2419568e+02	1.5623825e+02	-1.0000119e-02
0	0	6	4	0	T	5.0124697e-02	1.2816249e+02	1.5538411e+02	-1.0000076e-02
0	0	6	4	0	E	5.5632338e-02	1.2479015e+02	1.5428397e+02	-9.9999998e-03
0	0	6	4	1	T	6.9236331e-02	1.1995454e+02	1.5476706e+02	-1.0000187e-02
0	0	6	4	1	E	5.4281935e-02	1.2708131e+02	1.5384097e+02	-1.0000017e-02
0	0	6	4	2	T	6.9512896e-02	1.2123457e+02	1.5532578e+02	-1.0000076e-02
0	0	6	4	2	E	4.9498305e-02	1.2374577e+02	1.5484384e+02	-1.0000098e-02
0	0	6	4	3	T	7.2383456e-02	1.2233308e+02	1.5530051e+02	-1.0000210e-02
0	0	6	4	3	E	5.5212721e-02	1.2366406e+02	1.5395396e+02	-1.0000026e-02
0	0	6	5	0	T	7.1948580e-02	1.3873242e+02	1.5600233e+02	-9.9999998e-03
0	0	6	5	0	E	5.4594740e-02	1.3191631e+02	1.5954716e+02	-1.0000037e-02
0	0	6	5	1	T	7.1073107e-02	1.2693070e+02	1.5535773e+02	-1.0000019e-02
0	0	6	5	1	E	5.2702650e-02	1.3174797e+02	1.5974370e+02	-1.0000004e-02
0	0	6	5	2	T	7.1527056e-02	1.2496552e+02	1.5468550e+02	-9.9999998e-03
0	0	6	5	2	E	5.4854140e-02	1.3100067e+02	1.5969211e+02	-1.0000220e-02
0	0	6	5	3	T	7.1067385e-02	1.2453062e+02	1.5474762e+02	-1.0000003e-02
0	0	6	5	3	E	5.4503188e-02	1.3153690e+02	1.6049274e+02	-1.0000320e-02
0	0	6	6	0	T	4.1478686e-02	1.3766830e+02	1.5898270e+02	-1.0000001e-02
