#portID	slaveID	chipID	channelID	vth_t1	vth_t2	vth_e
0	0	6	0	40.696	58.2334	58.2144
0	0	6	1	34.1935	57.0206	57.9428
0	0	6	2	48.6242	61.159	61.2587
0	0	6	3	49.4345	60.9306	59.9407
0	0	6	4	54.7442	60.3142	59.1074
0	0	6	5	48.2963	61.3199	59.0001
0	0	6	6	51.1039	60.4454	60.2461
0	0	6	7	51.522	60.5029	60.9411
0	0	6	8	52.2761	60.3029	61.0985
0	0	6	9	48.9394	60.4992	61.2598
0	0	6	10	49.0505	61.0929	59.1857
0	0	6	11	52.4248	60.3968	61.0444
0	0	6	12	48.9123	60.3905	59.0353
0	0	6	13	50.4635	60.3209	58.9666
0	0	6	14	47.5357	61.2433	58.9366
0	0	6	15	51.2233	60.3101	60.2859
0	0	6	16	48.7089	60.285	60.2034
0	0	6	17	46.2264	61.2271	59.2175
0	0	6	18	51.0938	60.95	61.1307
0	0	6	19	50.148	61.2785	61.0901
0	0	6	20	56.1715	60.3128	59.1967
0	0	6	21	48.7806	61.2645	59.0722
0	0	6	22	49.5434	61.1831	59.9499
0	0	6	23	42.8733	61.3036	59.0983
0	0	6	24	45.9503	60.9553	59.0442
0	0	6	25	48.3549	61.2421	61.1407
0	0	6	26	50.793	61.0101	60.9614
0	0	6	27	51.6453	61.0544	61.0553
0	0	6	28	52.4288	60.4571	60.9655
0	0	6	29	48.3266	61.1547	59.0659
0	0	6	30	49.0459	61.268	58.2961
0	0	6	31	52.2086	60.9483	59.1977
0	0	6	32	50.3611	60.9444	59.0799
0	0	6	33	48.4471	61.2858	61.0265
0	0	6	34	51.7406	60.4623	61.1961
0	0	6	35	47.9555	60.4878	61.0487
0	0	6	36	50.3199	60.49	60.288
0	0	6	37	51.5164	60.9499	61.0914
0	0	6	38	47.1827	61.3469	61.1555
0	0	6	39	51.2938	60.3459	58.9994
0	0	6	40	50.1603	60.1389	61.18
0	0	6	41	49.4454	61.1458	61.1712
0	0	6	42	49.2573	61.056	60.0015
0	0	6	43	55.0197	60.4499	59.1062
0	0	6	44	52.2788	60.2505	60.1814
0	0	6	45	54.7121	60.3625	60.235
0	0	6	46	50.7613	60.4283	59.1578
0	0	6	47	51.545	60.1555	61.0369
0	0	6	48	48.1514	60.4993	61.0436
0	0	6	49	47.8699	61.3343	59.0012
0	0	6	50	48.9392	61.1394	60.2458
0	0	6	51	49.4594	61.3491	61.3631
0	0	6	52	47.446	60.1894	61.0481
0	0	6	53	50.8694	60.274	59.0322
0	0	6	54	48.4945	61.3516	60.9494
0	0	6	55	50.6957	60.2694	60.3237
0	0	6	56	54.8595	60.33	60.9944
0	0	6	57	49.4977	60.3146	61.1518
0	0	6	58	7.70191	26	40.9804
0	0	6	59	48.1252	61.1486	59.1791
0	0	6	60	48.6338	60.345	59.1681
0	0	6	61	47.3381	59.7593	59.8155
0	0	6	62	45.5809	59.8185	60.4592
0	0	6	63	49.7081	61.3045	61.1937
0	0	7	0	40.3712	58.4327	60.1109
0	0	7	1	44.9046	58.0138	60.1284
0	0	7	2	51.097	60.3785	58.3787
