# portID	slaveID	chipID	channelID	baseline_T	baseline_E	zero_T1	zero_T2	zero_E	noise_T1	noise_T2	noise_E
0	0	4	0	41	6	46.29287475900093	58.7631795073186	60.47950318059169	6.014471375021697	1.3386360592476607	0.10010337714363018
0	0	4	1	37	6	35.08517043753983	58.193452495248	60.460427698727045	8.901919511618622	1.897168334689785	0.055838593200873594
0	0	4	2	52	5	51.38090969512898	60.41478656545912	60.0	0.6286666878294811	0.06945483307749137	0.060326968250782424
0	0	4	3	48	7	52.47100103449413	61.25161559440109	61.11777662198142	0.07893934188758661	0.050691472108534745	0.06765052433739027
0	0	4	4	49	6	51.69740652470992	60.60680964974157	61.23884739440093	0.6736724153210251	0.12326031906622356	0.05001868213528467
0	0	4	5	49	5	51.1258408141812	60.25514697549819	59.23558998032637	0.8151257240993688	0.17156569970716123	0.050163320125968455
0	0	4	6	45	5	52.432432696693304	60.5165023672339	59.188462695054966	0.6437771439852544	0.05097205646738009	0.06034618009871103
0	0	4	7	48	5	52.181019689850295	60.435214121377406	59.113998652629235	0.8158631390340889	0.05032707800639955	0.05443991998595994
0	0	4	8	48	6	52.208994483831106	61.00000000000216	61.06227416829601	0.5444256820564706	0.1760278034543195	0.05069775249216984
0	0	4	9	49	6	52.17758077393246	60.53428598069384	61.23640751251275	0.5534012946500955	0.054596363271876266	0.050035422500830255
0	0	4	10	46	5	52.48883765943692	60.4298443900228	59.22376805883244	0.052619351006252556	0.05003536739392672	0.05000016297023916
0	0	4	11	50	7	51.047084836043936	60.579595895149644	61.10576066598377	0.7692998402550203	0.1195043968791424	0.05080681699289105
0	0	4	12	50	6	48.446074113819776	61.26150946302102	61.10242517550512	0.4642061818467819	0.098117149195072	0.050029905922645876
0	0	4	13	49	7	45.49720595068001	61.41164585599497	61.27380766876835	0.1420379829299369	0.050023394440096555	0.0500002900119285
0	0	4	14	48	6	52.6282383815442	60.35548104079717	60.01299470850438	0.7863394849611767	0.16099334970744072	0.05001650117470199
0	0	4	15	49	7	51.78540213588873	60.25022254754047	61.25600564219263	0.694243251457584	0.16034717568811777	0.056798220043438416
0	0	4	16	49	5	52.18176120440337	60.52903515734362	59.24204504962474	0.5947881656826549	0.11926914495935152	0.05045540533743508
0	0	4	17	51	5	48.498842597106794	60.31934958047826	59.071342298800666	0.533470228572472	0.15989846179285164	0.06251226720462036
0	0	4	18	49	5	51.363018368004084	60.4839808396709	59.17144811975397	0.7453401955615523	0.07882087373692032	0.13141869837266773
0	0	4	19	49	6	51.70229715196569	60.48986563528687	61.238108090297324	0.7177245441906809	0.13021286790295905	0.050001236759561356
0	0	4	20	49	5	49.859108845384455	60.33791493939627	59.23981900575868	0.5024440996535205	0.15982929047556704	0.05015706204117229
0	0	4	21	49	6	51.298222336300604	60.50913096442153	61.018800199213494	0.7688188571731983	0.12227893709038694	0.059389088347750946
0	0	4	22	54	6	48.39984969570279	61.10283717281047	61.01016914983571	0.427523436155179	0.05565293055111728	0.0506298190252656
0	0	4	23	50	6	49.55704929135183	61.23755638049954	61.00034443528081	0.4510510162304796	0.05000703709474169	0.05071990755388715
0	0	4	24	49	7	48.55370979976148	61.352955746065746	61.069294340331965	0.5558621334640874	0.05195579120402015	0.05553248577505329
0	0	4	25	49	6	49.194403569445996	60.44547702433309	61.06770341666375	0.5868144920085616	0.0651281615231486	0.06247738195725619
0	0	4	26	48	7	48.72593152000586	61.2922365762886	61.23112158887489	0.43386242248669965	0.05206615969015281	0.050010054169115636
0	0	4	27	49	7	51.56993046529602	61.11980586547883	61.1135527777683	0.6769305955508828	0.0736587174777573	0.050840306354419634
0	0	4	28	49	7	49.45070342010576	60.31701885713153	61.025510110595924	0.39393402288510715	0.16010910278195353	0.05606124789821987
0	0	4	29	49	6	52.807910087659806	61.160019025259345	61.389691686711	0.8267833736348785	0.06803069976439999	0.05094223267877941
0	0	4	30	46	5	53.19601934830978	60.35556974153855	58.03799449334086	0.885253972538072	0.10701519141749562	0.10802668314028925
0	0	4	31	47	5	51.443097618589285	61.073059887454434	59.11511758971803	0.06049203662834025	0.06032112250822522	0.05000478414458097
0	0	4	32	49	5	51.49834345401028	61.004834781768146	59.00004345218643	0.679211901400763	0.05013224369167424	0.07258243317953862
0	0	4	33	50	6	49.16877815526056	60.4133596308449	61.24376506909142	0.4571859034432505	0.05519312779964402	0.050011007265964996
0	0	4	34	50	6	50.06174101070333	61.19347472903298	60.37348060009108	0.45992946559295655	0.05857264651673887	0.05763364792747037
0	0	4	35	50	6	52.46934294733614	60.287103914921104	60.09445652152169	0.05022644897231781	0.15031128505358074	0.05638129015921277
0	0	4	36	49	6	52.016551161712556	60.38360054504593	61.01378147686223	0.6142407973115933	0.08603370452234685	0.05078521729734563
0	0	4	37	48	5	51.38751153438834	61.10488584246727	59.24329692656088	0.682271903816726	0.05118921927152301	0.05064096383512825
0	0	4	38	51	7	52.25018165794501	60.322079540105825	61.108108842552134	0.5275752850429702	0.11249495294440592	0.05018348664904319
0	0	4	39	50	7	51.96984681527457	60.424994949778494	61.22765469272437	0.6115636415412289	0.05063230342751193	0.05165683770089954
0	0	4	40	49	7	52.19744503155881	60.42689040445458	61.22143465583149	0.5281844726650725	0.05458440622351214	0.054166845575997866
0	0	4	41	49	7	51.178926744136184	60.66162811518673	61.081975252671725	0.7740550077291599	0.1530577706100635	0.0500609459414549
0	0	4	42	49	6	52.398118061788146	60.409815439105294	61.075350172650815	0.6678916816667229	0.11230376677133244	0.05892229451500644
0	0	4	43	50	7	53.24523976411934	60.000643973517995	61.24452083470897	0.7004420514493378	0.06710745160281587	0.05000973357761888
0	0	4	44	51	6	52.00495931955721	60.42773759343041	61.19013559118793	0.6416283465612848	0.05123937323322567	0.05741846410408495
0	0	4	45	48	5	50.67040613139048	61.14528236194783	59.10800624100704	0.7623982985502089	0.0500096592093336	0.055989692693708175
0	0	4	46	51	5	48.323152768126974	60.49432931204706	59.17552874761659	0.4915005129771723	0.06116592877261066	0.11943409171431517
0	0	4	47	49	6	48.756141829057164	61.2160049244657	61.24168534768891	0.42820180440826905	0.05845631092265056	0.05000281960118639
0	0	4	48	46	5	52.358925424108605	60.376178594310836	59.22154484553897	0.7552496862970923	0.08761642255732909	0.05003755388670268
0	0	4	49	48	5	51.49781889344283	60.637173442956424	59.24103794306499	0.7392958050419888	0.11863088575263092	0.050029953933831584
0	0	4	50	50	6	50.75324033475976	60.636826633282965	61.190079953784746	0.9047493413230174	0.1541631785778751	0.05628286939900937
0	0	4	51	47	5	52.230024367030815	61.00000000194095	59.374007250417954	0.632252134295893	0.12098859861704321	0.16589934941961942
0	0	4	52	49	6	51.3253095010596	61.09192056118341	60.33744897224881	0.6502684170243577	0.056400878956530065	0.050183990186496844
0	0	4	53	50	6	52.23868910509751	60.39486583583245	60.363709698243206	0.754441111865004	0.07542311759508906	0.12193789748499798
0	0	4	54	50	5	53.20781565356026	60.339102340221885	59.23061055557205	0.7689957694640217	0.11785671680592012	0.0508605315929494
0	0	4	55	50	5	50.84818427138449	60.34880773931985	58.41572339421738	0.7367763286160871	0.09453857084499746	0.06485127042259578
0	0	4	56	49	6	51.37446588178512	61.16258102073576	60.338610701048125	0.5663181383981791	0.06811772621886067	0.12422533786936539
0	0	4	57	49	6	48.72542169344066	61.0	61.0394360354731	0.5018899142876313	0.055302054512495535	0.05305284473170792
0	0	4	58	50	5	49.94944372565927	60.966097946759525	58.08849167788955	0.5048296268669806	0.06813036665960506	0.05014539113121347
0	0	4	59	49	6	52.27670790305072	60.580821794902484	61.21793118499741	0.5352681577373738	0.12134045024928491	0.05238734266508643
0	0	4	60	53	7	53.36896787561105	60.427738618976655	60.94132907833277	0.7631553378458983	0.05057975174530717	0.06322620225346849
0	0	4	61	49	6	52.783758569665736	60.532761050008304	61.22282887819076	0.8903277329095739	0.09818787839053639	0.05380165752530345
0	0	4	62	49	6	52.476722927893476	60.47208234246242	61.253094123924505	0.05026584953659334	0.05469513688061372	0.05000084890137832
0	0	4	63	49	6	49.69660088918915	60.41712973815397	61.41682113414186	0.4653692145875632	0.06973835265958643	0.05000143038947852
0	0	5	0	43	5	39.37232668651028	57.796998925819835	58.69539389896454	9.125663599932578	1.9275214684366584	0.756277319672833
0	0	5	1	40	5	41.64937009325379	58.04651997444793	58.194739701051624	8.020877104828992	1.7161394637014424	0.6536164848407041
0	0	5	2	46	5	51.04380910311131	60.36718064979676	59.23912973682444	0.7437774477015835	0.16669077703176177	0.0510662916962988
0	0	5	3	50	6	45.86811466115719	61.20366640401857	61.00575340350479	0.460831348927185	0.0690092629732837	0.0540814813994442
0	0	5	4	50	6	50.478153543453	60.364439159493976	61.21078961422893	0.05607274578544252	0.11428816939514212	0.055469974997731215
0	0	5	5	49	5	49.89148735115601	60.60927280044917	59.23963664719335	0.621109711522613	0.09602146182730656	0.05202666442252883
0	0	5	6	46	6	57.275177308039154	60.34590927245157	60.41762121683116	0.09182169815789964	0.0723257994668348	0.050072080977065045
0	0	5	7	47	6	50.14171865290655	60.44365215695689	60.21101487960846	0.5566119499685238	0.05889455338954771	0.07050399647767427
0	0	5	8	52	6	50.669827579947984	60.364779133076794	61.11152904226928	0.7482354679630884	0.1280173860105001	0.05000001704852916
0	0	5	9	46	5	49.55590697973589	60.4757809633675	59.16292059353049	0.6761878121861323	0.05150523028614647	0.06464003632138539
0	0	5	10	46	6	50.346000256760746	60.65595747463318	61.165119699797245	0.5055327256353234	0.158148414769927	0.061868179986399256
0	0	5	11	51	5	50.34451121651399	60.3865161691504	59.00003325671202	0.560539161582293	0.12671994885360585	0.06302486789037579
0	0	5	12	44	6	49.496767553922794	61.00000001108476	61.299711731140256	0.6773070330482384	0.10413731588974287	0.05001241176197022
0	0	5	13	47	5	50.63177998165865	60.29661880077948	59.156827747122335	0.7715944551911955	0.15480118657840125	0.05000000314810632
0	0	5	14	47	5	47.89809226043414	60.396431520859394	59.19058444512903	0.5864080768584469	0.09047061715063856	0.05892738660491774
0	0	5	15	46	6	50.59747203916483	60.584101647455014	61.09136977741682	0.758303981509667	0.13162926017757612	0.05064168461842248
0	0	5	16	48	5	50.00489414562033	60.42164906806907	58.98402719935119	0.5856343767598152	0.07796020404878064	0.0785108064229424
0	0	5	17	48	5	50.07811248106714	60.416182802892855	59.24202679774439	0.5652277838916109	0.06732975833448253	0.0502193498176955
0	0	5	18	47	6	49.91527812370784	60.09640842678211	61.28611168501071	0.6100773109102565	0.06002390232006082	0.05000599053169505
0	0	5	19	49	6	48.01658522676554	61.0	61.236244749242864	0.5318235289280869	0.05127282230134838	0.07158194589262096
0	0	5	20	47	5	49.94031296012528	60.56888012741004	59.09223469014419	0.5846736060744195	0.06948919519324943	0.050016564500808665
0	0	5	21	48	5	50.04917327483654	60.9583083455164	59.24840471508797	0.5670455149264652	0.07464365537556729	0.050000315908922836
0	0	5	22	46	6	50.32848138844226	60.50989589871982	61.085212047314016	0.49636111536894895	0.07932567928893175	0.052006631540265906
0	0	5	23	49	6	49.88801300095996	60.65975065525389	61.289216687692395	0.5858953266203285	0.16693022479588404	0.05013135553591772
0	0	5	24	50	5	46.307066966844964	60.55438461258344	59.32607182143372	0.4715474979405868	0.08158327279779909	0.11645361911674687
0	0	5	25	46	5	50.04425232421108	60.54945162330517	59.28815921346989	0.5675284419159347	0.18355087928484165	0.0500002683408409
0	0	5	26	49	6	50.5779109758016	60.001886830977824	61.20421876839791	0.7577169660524268	0.05964826936549657	0.05000002806839533
0	0	5	27	46	6	48.079694514079506	60.48770768702041	61.09840129388421	0.46358105784426346	0.05626692596843141	0.050068875581769715
0	0	5	28	46	6	50.1454012377573	61.000000000020265	61.17914030200875	0.5445392646117113	0.10439092193040393	0.05598466564302433
0	0	5	29	46	6	50.473706558111196	60.125659407871034	61.04789357605617	0.6881727638990132	0.052912052428823055	0.050128598536329956
0	0	5	30	54	5	49.94910791134032	60.293981112542475	59.23611527718715	0.589989346012909	0.15827086180753552	0.050449461821751446
0	0	5	31	49	5	48.300337633206695	61.01782697519009	58.1881191103985	0.43512913794861496	0.05371047885605105	0.06181226021540802
0	0	5	32	46	6	49.13431710531575	60.540089129531665	61.09771189174189	0.5666139096923678	0.05277775339362367	0.05769598324672816
0	0	5	33	45	6	50.314053285612346	61.27412670162883	61.11197105434427	0.5007600889164517	0.05123532648296707	0.054839027613953886
0	0	5	34	47	5	47.76569842050259	60.57267945943361	59.24799102077064	0.474916505941728	0.07469997543128803	0.05042856390895767
0	0	5	35	47	6	50.2985624287891	60.39575941735178	60.476178900251135	0.5025786089097113	0.08675911642412086	0.1431320094264903
0	0	5	36	46	6	50.248340063513645	61.22975499254861	61.30103686347418	0.5125096980567092	0.05249527469266344	0.052216436716767387
0	0	5	37	49	5	50.10376311677242	60.507501220845796	59.225480821062746	0.5325399564913685	0.0895447628782871	0.050023689227175525
0	0	5	38	49	6	48.413058400075535	61.0	61.00177285958283	0.3895451811739597	0.054817536445918004	0.06269354057177363
0	0	5	39	46	6	51.248429472882556	60.44316092553217	61.24861815643027	0.42191974012565936	0.18071508666673686	0.050019043980984314
0	0	5	40	46	6	50.132421144496014	60.31265285380199	61.23273123470413	0.5723089607978339	0.1419566683437882	0.05338069445368655
0	0	5	41	46	5	50.280966697915176	60.46359942552444	59.10736722550514	0.5091164526042216	0.11930318114346433	0.07244408546140924
0	0	5	42	49	5	48.12999062061955	60.45300011648158	59.2512394171872	0.436531707670983	0.05459561121391333	0.05009255066781991
