# portID	slaveID	chipID	channelID	tacID	branch	t0	a0	a1	a2
0	0	4	0	0	T	4.3289840e-02	1.3431439e+02	1.6600378e+02	-9.9999998e-03
0	0	4	0	0	E	2.6547186e-02	1.2483486e+02	1.6047232e+02	-1.0000008e-02
0	0	4	0	1	T	3.8813293e-02	1.2724802e+02	1.6557574e+02	-1.0000002e-02
0	0	4	0	1	E	2.5624029e-02	1.2463609e+02	1.6022131e+02	-1.0000021e-02
0	0	4	0	2	T	4.2271316e-02	1.2537222e+02	1.6607143e+02	-1.0000024e-02
0	0	4	0	2	E	2.4601690e-02	1.2273741e+02	1.5963330e+02	-9.9999998e-03
0	0	4	0	3	T	3.2664001e-02	1.2351173e+02	1.6532407e+02	-1.0000001e-02
0	0	4	0	3	E	2.5616400e-02	1.2263551e+02	1.6019180e+02	-1.0000001e-02
0	0	4	1	0	T	4.3635070e-02	1.3247993e+02	1.6291039e+02	-1.0000002e-02
0	0	4	1	0	E	2.3800604e-02	1.2139498e+02	1.6189771e+02	-9.9999998e-03
0	0	4	1	1	T	4.2914093e-02	1.1979586e+02	1.6277003e+02	-1.0000003e-02
0	0	4	1	1	E	7.4508116e-03	1.1914645e+02	1.6236794e+02	-1.0000001e-02
0	0	4	1	2	T	4.9574554e-02	1.2217940e+02	1.6355231e+02	-1.0000001e-02
0	0	4	1	2	E	1.0281317e-02	1.1737744e+02	1.6260037e+02	-9.9999998e-03
0	0	4	1	3	T	4.9267471e-02	1.1886030e+02	1.6324464e+02	-1.0000016e-02
0	0	4	1	3	E	2.6219122e-02	1.1990256e+02	1.6291747e+02	-9.9999998e-03
0	0	4	2	0	T	3.6804855e-02	1.2341927e+02	1.5652379e+02	-1.0000006e-02
0	0	4	2	0	E	1.2982123e-02	1.1999553e+02	1.5955281e+02	-1.0000001e-02
0	0	4	2	1	T	2.7514162e-02	1.1080113e+02	1.5598904e+02	-9.9999998e-03
0	0	4	2	1	E	2.6158087e-02	1.2163084e+02	1.6162131e+02	-7.7739406e-01
